<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.08.26	1.17706	1.17790	1.17459	1.17515	49613	0	0
2021.08.27	1.17514	1.18026	1.17349	1.17955	54550	0	0
2021.08.30	1.17926	1.18099	1.17829	1.17962	36224	0	0
2021.08.31	1.17961	1.18450	1.17939	1.18083	56492	0	0
2021.09.01	1.18078	1.18572	1.17936	1.18384	50142	0	0
2021.09.02	1.18374	1.18759	1.18344	1.18744	42004	0	0
2021.09.03	1.18739	1.19091	1.18657	1.18772	53226	0	0
2021.09.06	1.18768	1.18862	1.18557	1.18701	29883	0	0
2021.09.07	1.18675	1.18852	1.18373	1.18402	54549	0	0
2021.09.08	1.18356	1.18512	1.18022	1.18150	64756	0	0
2021.09.09	1.18125	1.18413	1.18053	1.18244	68564	0	0
2021.09.10	1.18229	1.18510	1.18091	1.18107	52650	0	0
2021.09.13	1.18143	1.18171	1.17702	1.18103	51815	0	0
2021.09.14	1.18092	1.18460	1.18001	1.18025	58490	0	0
2021.09.15	1.18013	1.18319	1.17991	1.18165	58073	0	0
2021.09.16	1.18153	1.18206	1.17506	1.17652	58283	0	0
2021.09.17	1.17675	1.17888	1.17242	1.17250	56213	0	0
2021.09.20	1.17272	1.17363	1.17004	1.17257	58444	0	0
2021.09.21	1.17248	1.17486	1.17149	1.17252	58514	0	0
2021.09.22	1.17240	1.17555	1.16843	1.16866	72571	0	0
2021.09.23	1.16860	1.17501	1.16835	1.17381	68536	0	0
2021.09.24	1.17379	1.17476	1.17007	1.17206	51401	0	0
2021.09.27	1.17255	1.17255	1.16848	1.16952	57807	0	0
2021.09.28	1.16940	1.17032	1.16682	1.16826	64793	0	0
2021.09.29	1.16825	1.16901	1.15894	1.15969	68964	0	0
2021.09.30	1.15963	1.16097	1.15626	1.15769	68517	0	0
2021.10.01	1.15740	1.16075	1.15630	1.15927	66777	0	0
2021.10.04	1.15922	1.16400	1.15876	1.16193	54990	0	0
2021.10.05	1.16184	1.16216	1.15806	1.15972	50533	0	0
2021.10.06	1.15959	1.16019	1.15292	1.15556	63394	0	0
2021.10.07	1.15538	1.15723	1.15474	1.15527	50611	0	0
2021.10.08	1.15526	1.15861	1.15414	1.15736	59970	0	0
2021.10.11	1.15659	1.15867	1.15487	1.15517	46485	0	0
2021.10.12	1.15522	1.15702	1.15242	1.15295	57798	0	0
2021.10.13	1.15294	1.15973	1.15250	1.15940	67602	0	0
2021.10.14	1.15903	1.16245	1.15838	1.15959	56588	0	0
2021.10.15	1.15947	1.16186	1.15880	1.15981	61186	0	0
2021.10.18	1.15976	1.16224	1.15717	1.16097	63554	0	0
2021.10.19	1.16088	1.16692	1.16074	1.16325	60549	0	0
2021.10.20	1.16304	1.16586	1.16170	1.16505	61774	0	0
2021.10.21	1.16478	1.16675	1.16192	1.16240	65189	0	0
2021.10.22	1.16197	1.16554	1.16194	1.16437	65172	0	0
2021.10.25	1.16380	1.16650	1.15907	1.16081	59725	0	0
2021.10.26	1.16076	1.16257	1.15850	1.15957	54975	0	0
2021.10.27	1.15955	1.16257	1.15848	1.16026	66553	0	0
2021.10.28	1.16023	1.16920	1.15824	1.16801	82814	0	0
2021.10.29	1.16781	1.16901	1.15353	1.15620	82169	0	0
2021.11.01	1.15626	1.16090	1.15460	1.16041	51339	0	0
2021.11.02	1.16028	1.16132	1.15747	1.15780	56326	0	0
2021.11.03	1.15770	1.16161	1.15621	1.16131	69529	0	0
2021.11.04	1.16110	1.16162	1.15284	1.15539	65259	0	0
2021.11.05	1.15537	1.15730	1.15134	1.15665	68123	0	0
2021.11.08	1.15597	1.15950	1.15503	1.15864	54555	0	0
2021.11.09	1.15840	1.16086	1.15697	1.15929	67294	0	0
2021.11.10	1.15908	1.15953	1.14756	1.14783	85955	0	0
2021.11.11	1.14774	1.14876	1.14429	1.14495	53727	0	0
2021.11.12	1.14484	1.14560	1.14361	1.14503	15209	0	0
