<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.08	20:00:00	1.35791	1.35791	1.35431	1.35533	6235	0	0
2021.01.08	21:00:00	1.35534	1.35711	1.35532	1.35632	5821	0	0
2021.01.08	22:00:00	1.35630	1.35693	1.35597	1.35627	3384	0	0
2021.01.08	23:00:00	1.35627	1.35651	1.35525	1.35606	1470	0	0
2021.01.11	00:00:00	1.35402	1.35688	1.35391	1.35557	301	0	7
2021.01.11	01:00:00	1.35584	1.35612	1.35099	1.35183	2967	0	0
2021.01.11	02:00:00	1.35182	1.35293	1.35158	1.35267	3005	0	0
2021.01.11	03:00:00	1.35267	1.35276	1.35053	1.35093	4688	0	0
2021.01.11	04:00:00	1.35092	1.35163	1.34963	1.35163	3165	0	0
2021.01.11	05:00:00	1.35159	1.35166	1.35011	1.35051	2003	0	0
2021.01.11	06:00:00	1.35051	1.35088	1.34915	1.34987	2136	0	0
2021.01.11	07:00:00	1.34987	1.35022	1.34927	1.35011	2309	0	0
2021.01.11	08:00:00	1.35011	1.35140	1.34934	1.35120	2389	0	0
2021.01.11	09:00:00	1.35120	1.35128	1.34828	1.34834	4926	0	0
2021.01.11	10:00:00	1.34833	1.35096	1.34826	1.35092	6853	0	0
2021.01.11	11:00:00	1.35091	1.35156	1.34918	1.34926	5508	0	0
2021.01.11	12:00:00	1.34927	1.35026	1.34854	1.34964	4768	0	0
2021.01.11	13:00:00	1.34964	1.35021	1.34837	1.34856	4620	0	0
2021.01.11	14:00:00	1.34856	1.34884	1.34641	1.34812	4470	0	0
2021.01.11	15:00:00	1.34810	1.34826	1.34581	1.34646	5325	0	0
2021.01.11	16:00:00	1.34647	1.34855	1.34508	1.34559	9385	0	0
2021.01.11	17:00:00	1.34559	1.34955	1.34519	1.34860	7416	0	0
2021.01.11	18:00:00	1.34860	1.35258	1.34784	1.35207	6282	0	0
2021.01.11	19:00:00	1.35207	1.35302	1.35186	1.35255	4511	0	0
2021.01.11	20:00:00	1.35256	1.35295	1.35210	1.35242	2789	0	0
2021.01.11	21:00:00	1.35242	1.35349	1.35230	1.35257	2619	0	0
2021.01.11	22:00:00	1.35256	1.35270	1.35164	1.35201	1795	0	0
2021.01.11	23:00:00	1.35201	1.35219	1.35053	1.35116	1193	0	0
2021.01.12	00:00:00	1.35112	1.35175	1.35055	1.35060	779	0	6
2021.01.12	01:00:00	1.35060	1.35276	1.35060	1.35233	1743	0	0
2021.01.12	02:00:00	1.35232	1.35266	1.35102	1.35198	3186	0	0
2021.01.12	03:00:00	1.35200	1.35302	1.35040	1.35230	4557	0	0
2021.01.12	04:00:00	1.35230	1.35284	1.35160	1.35237	2531	0	0
2021.01.12	05:00:00	1.35240	1.35270	1.35201	1.35217	1762	0	0
2021.01.12	06:00:00	1.35217	1.35265	1.35156	1.35242	1180	0	0
2021.01.12	07:00:00	1.35242	1.35451	1.35203	1.35435	3430	0	0
2021.01.12	08:00:00	1.35434	1.35580	1.35379	1.35546	2997	0	0
2021.01.12	09:00:00	1.35539	1.35675	1.35461	1.35530	4732	0	0
2021.01.12	10:00:00	1.35530	1.35576	1.35385	1.35541	5760	0	0
2021.01.12	11:00:00	1.35539	1.36064	1.35425	1.36027	7106	0	0
2021.01.12	12:00:00	1.36026	1.36053	1.35755	1.35756	4517	0	0
2021.01.12	13:00:00	1.35757	1.36040	1.35756	1.35863	4269	0	0
2021.01.12	14:00:00	1.35863	1.36022	1.35814	1.35955	4440	0	0
2021.01.12	15:00:00	1.35954	1.36018	1.35801	1.35867	5407	0	0
2021.01.12	16:00:00	1.35866	1.36055	1.35808	1.36000	6725	0	0
2021.01.12	17:00:00	1.36000	1.36313	1.35899	1.36170	7050	0	0
2021.01.12	18:00:00	1.36171	1.36360	1.36157	1.36351	4467	0	0
2021.01.12	19:00:00	1.36352	1.36370	1.36203	1.36241	4836	0	0
2021.01.12	20:00:00	1.36241	1.36482	1.36211	1.36407	3402	0	0
2021.01.12	21:00:00	1.36408	1.36674	1.36396	1.36636	3807	0	0
2021.01.12	22:00:00	1.36636	1.36681	1.36574	1.36654	2568	0	0
2021.01.12	23:00:00	1.36654	1.36700	1.36621	1.36626	1796	0	0
2021.01.13	00:00:00	1.36625	1.36637	1.36542	1.36605	1095	0	20
2021.01.13	01:00:00	1.36598	1.36685	1.36598	1.36664	545	0	0
2021.01.13	02:00:00	1.36665	1.36805	1.36664	1.36696	2585	0	0
2021.01.13	03:00:00	1.36696	1.36827	1.36669	1.36792	3672	0	0
2021.01.13	04:00:00	1.36792	1.36848	1.36773	1.36804	1710	0	0
2021.01.13	05:00:00	1.36801	1.36927	1.36801	1.36877	2275	0	0
2021.01.13	06:00:00	1.36877	1.36885	1.36790	1.36791	2755	0	0
